 	Sigma1	Sigma2	Distance	Sigma
878	1.63	2.07	8.69	2.634729588
879	1.94	1.96	6.62	2.757752708
880	2	1.69	6.35	2.618415551
881	1.98	2.84	10.18	3.462080299
882	1.68	2.58	9.65	3.078765987
883	2.05	3.21	5.24	3.808753077
884	2.5	2.76	6.69	3.723922663
885	2.6	2.2	3.48	3.405877273
886	3.52	2.75	19.73	4.466866911
887	3.19	2.75	10.54	4.211721738
888	2.26	1.7	8.3	2.828002829
889	3.55	2.39	9.02	4.279556052
890	3.76	2	4.84	4.258826129
891	2.84	1.58	10.56	3.249923076
892	3.39	2.63	15.87	4.290571058
893	2.47	1.65	18.46	2.970420846
894	3.03	2.88	5.46	4.180346876
895	2.07	2.72	8.65	3.418084259
896	3.01	2.67	3.52	4.023555641
897	2.32	3.36	15.63	4.08313605
898	2.1	3.07	2.68	3.71952954
899	3.25	2.34	9.86	4.004759668
900	2.04	3.65	5.73	4.181399287
901	2.91	2.73	8.9	3.99011278
902	1.86	2.5	17.09	3.116023106
903	2.65	3.92	3.71	4.73169103
904	2.04	2.69	23.02	3.376047985
905	2.78	3.41	7.89	4.399602255
906	2.95	3.13	7.59	4.301092884
907	2.24	2.3	14.62	3.210545125
908	2.88	2.93	13.72	4.108442527
909	2.58	2.8	17.59	3.80741382
910	1.8	0.85	11.73	1.990602924
911	1.87	0.9	3.96	2.075307206
912	2.5	2.18	3.18	3.316986584
913	1.84	0.81	14.19	2.010397971
914	1.9	0.84	10.98	2.077402224
915	1.93	0.87	7.36	2.117026216
916	2	0.88	8.24	2.185040045
917	3.55	2.39	9.02	4.279556052
918	2.21	0.85	4.25	2.367826007
919	3.76	2	4.84	4.258826129
920	2.17	0.84	26.93	2.326907819
921	2.06	0.82	10.58	2.217205448
922	3.39	2.63	15.87	4.290571058
923	1.79	0.88	4.96	1.994617758
924	3.03	2.88	5.46	4.180346876
925	2.12	0.96	9.93	2.327230113
926	3.01	2.67	3.52	4.023555641
927	2.23	0.93	5.08	2.416153969
928	3.25	2.34	9.86	4.004759668
929	2.62	0.91	11.79	2.77353565
930	2.91	2.73	8.9	3.99011278
931	2.29	1.11	12.49	2.544837912
932	2.65	3.92	3.71	4.73169103
933	2.22	1.18	17.57	2.514120124
934	2.78	3.41	7.89	4.399602255
935	2.39	1.17	7.55	2.661014844
936	2.95	3.13	7.59	4.301092884
937	2.46	1.13	7.02	2.707120241
938	2.88	2.93	13.72	4.108442527
939	2.58	0.99	22.18	2.763421792
940	2.58	2.8	17.59	3.80741382
941	2.82	3.58	11.46	4.55727989
942	2.26	1.7	8.3	2.828002829
943	2.84	1.58	10.56	3.249923076
944	2.47	1.65	18.46	2.970420846
945	2.07	2.72	8.65	3.418084259
946	3.91	4.69	14.35	6.106078938
947	2.32	3.36	15.63	4.08313605
948	3.42	2.57	13.99	4.27800187
949	2.1	3.07	2.68	3.71952954
950	3.25	2.34	9.86	4.004759668
951	2.04	3.65	5.73	4.181399287
952	2.91	2.73	8.9	3.99011278
953	1.86	2.5	17.09	3.116023106
954	2.65	3.92	3.71	4.73169103
955	2.04	2.69	23.02	3.376047985
956	2.78	3.41	7.89	4.399602255
957	2.95	3.13	7.59	4.301092884
958	2.24	2.3	14.62	3.210545125
959	2.88	2.93	13.72	4.108442527
960	2.58	2.8	17.59	3.80741382
961	3.91	4.69	14.35	6.106078938
962	2.93	2.33	20.93	3.743501035
963	2.52	2.06	9.89	3.254842546
964	2.59	1.93	6.55	3.23001548
965	2.72	1.92	12.68	3.329384327
966	2.21	1.96	10.46	2.953929586
967	2.52	1.68	4.47	3.028663071
968	2.47	2.16	8.87	3.281234524
969	2.85	1.8	2.6	3.370830758
970	2.73	1.91	7.14	3.331816321
971	2.71	1.71	13.51	3.204403221
972	4.08	2.74	12.81	4.914671912
973	2.08	0.97	18.53	2.295059912
974	2.67	1.93	23.39	3.294510586
975	2.7	1.1	13.31	2.915475947
976	2.87	2.23	21.87	3.634528855
977	2.62	0.91	11.79	2.77353565
978	2.29	1.11	12.49	2.544837912
979	3.75	3.53	6.73	5.150087378
980	2.22	1.18	17.57	2.514120124
981	2.39	1.17	7.55	2.661014844
982	2.46	1.13	7.02	2.707120241
983	2.58	0.99	22.18	2.763421792
984	3.31	3.89	11.5	5.107660913
985	2.3	1.66	19.27	2.836476688
986	2.47	1.65	18.46	2.970420846
987	2.07	2.72	8.65	3.418084259
988	2.32	3.36	15.63	4.08313605
989	2.1	3.07	2.68	3.71952954
990	2.04	3.65	5.73	4.181399287
991	2.69	3.58	13.88	4.478001787
992	1.86	2.5	17.09	3.116023106
993	2.04	2.69	23.02	3.376047985
994	2.24	2.3	14.62	3.210545125
995	2.69	3.58	13.88	4.478001787
996	3.1	3	13.76	4.313930922
997	1.27	0.74	10.95	1.469863939
998	1.31	0.69	7.33	1.480607983
999	1.72	0.7	1.72	1.856986807
1000	1.62	0.74	7.96	1.781010949
1001	2.28	0.78	13.26	2.409730275
1002	3.58	3.18	13.28	4.788402656
1003	1.97	0.84	8.44	2.141611543
1004	3.47	3.09	16.64	4.646396453
1005	2.25	0.83	8.47	2.398207664
1006	3.06	3.11	15.26	4.362992093
1007	1.97	0.85	15.89	2.145553542
1008	2.86	1	16.52	3.029785471
1009	2.56	0.87	36.47	2.703793631
1010	1.16	0.76	18.32	1.386794866
1011	1.72	0.7	1.72	1.856986807
1012	1.62	0.74	7.96	1.781010949
1013	2.28	0.78	13.26	2.409730275
1014	1.97	0.84	8.44	2.141611543
1015	2.25	0.83	8.47	2.398207664
1016	1.97	0.85	15.89	2.145553542
1017	2.86	1	16.52	3.029785471
1018	2.56	0.87	36.47	2.703793631
1019	1.33	0.63	16.11	1.471665723
1020	1.44	0.66	5.26	1.584045454
1021	1.29	0.69	17.91	1.462942241
1022	1.25	0.76	25.47	1.462908063
1023	1.26	0.74	25.14	1.461232357
1024	1.11	0.67	27.82	1.296533841
1025	2.44	0.8	5.96	2.567800615
1026	1.34	0.76	23.45	1.540519393
1027	3.31	3.24	27.37	4.6318139
1028	1.11	0.84	11.11	1.392012931
1029	3.96	3.15	29.8	5.060049407
1030	1.21	0.73	29.69	1.413152504
1031	3.58	3.18	13.28	4.788402656
1032	2.25	0.8	18.02	2.387990787
1033	1.32	0.75	22.46	1.518189711
1034	2.08	0.86	17.49	2.250777643
1035	3.47	3.09	16.64	4.646396453
1036	2.25	0.83	8.47	2.398207664
1037	1.54	0.74	18.57	1.708566651
1038	3.06	3.11	15.26	4.362992093
1039	1.97	0.85	15.89	2.145553542
1040	2.86	1	16.52	3.029785471
1041	2.1	0.86	9.4	2.269273011
1042	2.18	0.8	4.23	2.322154172
1043	2.56	0.87	36.47	2.703793631
1044	1.78	0.94	7.81	2.012958022
1045	2.03	0.97	10.45	2.249844439
1046	1.48	0.78	10.88	1.672961446
1047	1.32	0.75	22.46	1.518189711
1048	1.54	0.74	18.57	1.708566651
1049	2.1	0.86	9.4	2.269273011
1050	2.18	0.8	4.23	2.322154172
1051	1.78	0.94	7.81	2.012958022
1052	2.03	0.97	10.45	2.249844439
1053	1.61	0.72	5.88	1.763660965
1054	1.54	0.74	18.57	1.708566651
1055	2.1	0.86	9.4	2.269273011
1056	2.18	0.8	4.23	2.322154172
1057	1.78	0.94	7.81	2.012958022
1058	2.03	0.97	10.45	2.249844439
1059	1.69	0.83	13.74	1.882817038
1060	1.62	0.83	14.84	1.820247236
1061	2.1	0.86	9.4	2.269273011
1062	2.18	0.8	4.23	2.322154172
1063	1.78	0.94	7.81	2.012958022
1064	2.03	0.97	10.45	2.249844439
1065	3.32	1.9	14.92	3.825232019
1066	3.35	1.91	24.1	3.856241694
1067	3.53	3.56	7.35	5.013431958
1068	2.6	3.96	15.85	4.73725659
1069	3.88	3.83	22.53	5.451907923
1070	3.29	3.96	17.41	5.148368674
1071	3.53	3.56	7.35	5.013431958
1072	2.6	3.96	15.85	4.73725659
1073	3.88	3.83	22.53	5.451907923
1074	3.29	3.96	17.41	5.148368674
1075	2.04	0.76	10.46	2.176970372
